id_usuario,idade,faixa_etaria,sexo,indicador_inadimplencia,quantidade_emprestimos,emprestimos_imobiliarios,emprestimos_outros,tipos_emprestimos,ultimo_salario,atraso_superior_90_dias,linhas_de_credito_nao_garantidas_por_ativos_pessoais,indice_endividamento,numero_dependentes,idade_risco,emprestimo_risco,salario_risco,atraso_risco,endividamento_risco,credito_risco,genero_binario,idade_binario,emprestimo_binario,salario_binario,atraso_binario,endividamento_binario,credito_binario,dependentes_quartil_binario,total,total_binario
865,21,21-30,Masculino,0,0,0,0,Sem registro,6622,98,1,0,0,0,"0,14","0,01","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
9884,21,21-30,Feminino,0,0,0,0,Sem registro,6622,0,1,0,0,0,"0,14","0,01",0,"0,02","0,07",1,0,1,0,0,0,1,0,2,0
28122,21,21-30,Masculino,0,0,0,0,Sem registro,6675,0,1,8,0,0,"0,14","0,02",0,"0,03","0,07",0,0,1,0,0,0,1,0,2,0
14999,21,21-30,Feminino,0,0,0,0,Sem registro,6622,0,1,0,0,0,"0,14","0,01",0,"0,02","0,07",1,0,1,0,0,0,1,0,2,0
18876,21,21-30,Feminino,0,0,0,0,Sem registro,6675,0,1,307,0,0,"0,14","0,02",0,0,"0,07",1,0,1,0,0,0,1,1,3,0
24483,21,21-30,Masculino,0,0,0,0,Sem registro,6675,98,1,0,0,0,"0,14","0,02","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
3108,21,21-30,Masculino,0,0,0,0,Sem registro,6675,98,1,0,0,0,"0,14","0,02","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
24559,21,21-30,Feminino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
35630,21,21-30,Feminino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",1,0,0,0,0,0,1,0,1,0
28075,21,21-30,Masculino,0,1,0,1,Outros,6675,0,1,12,0,0,"0,03","0,02",0,"0,04","0,07",0,0,0,0,0,0,1,1,2,0
2932,21,21-30,Masculino,0,1,0,1,Outros,6675,0,0,9,0,0,"0,03","0,02",0,"0,04",0,0,0,0,0,0,0,0,0,0,0
3985,21,21-30,Masculino,0,1,0,1,Outros,3300,0,0,0,0,0,"0,03","0,03",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
8870,21,21-30,Feminino,0,1,0,1,Outros,6675,0,1,0,0,0,"0,03","0,02",0,"0,02","0,07",1,0,0,0,0,0,1,0,1,0
35429,21,21-30,Masculino,0,1,0,1,Outros,2250,0,1,0,2,0,"0,03","0,05",0,"0,02","0,07",0,0,0,0,0,0,1,1,2,0
15684,21,21-30,Feminino,0,1,0,1,Outros,6675,0,0,0,0,0,"0,03","0,02",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
15009,21,21-30,Masculino,0,1,0,1,Outros,6622,0,0,0,1,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,1,1,0
9754,21,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
18209,21,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
12520,21,21-30,Masculino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
2303,21,21-30,Masculino,0,1,0,1,Outros,6675,0,1,672,0,0,"0,03","0,02",0,0,"0,07",0,0,0,0,0,0,1,0,1,0
16848,21,21-30,Masculino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
27733,21,21-30,Feminino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
4732,21,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
17258,21,21-30,Feminino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
22623,21,21-30,Masculino,0,1,0,1,Outros,2420,0,1,0,0,0,"0,03",0,0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
33474,21,21-30,Masculino,0,1,0,1,Outros,6675,0,1,112,0,0,"0,03","0,02",0,0,"0,07",0,0,0,0,0,0,1,0,1,0
13372,21,21-30,Masculino,0,1,0,1,Outros,2000,0,0,0,0,0,"0,03","0,03",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
18682,21,21-30,Masculino,0,1,0,1,Outros,6675,0,1,34,0,0,"0,03","0,02",0,0,"0,07",0,0,0,0,0,0,1,0,1,0
26170,21,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
22147,21,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,1,2,0
20846,21,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
5381,21,21-30,Feminino,0,2,0,2,Outros,9686,0,0,0,0,0,"0,04",0,0,"0,02",0,1,0,1,0,0,0,0,1,2,0
24324,21,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
16574,21,21-30,Masculino,0,2,0,2,Outros,6622,0,1,0,0,0,"0,04","0,01",0,"0,02","0,07",0,0,1,0,0,0,1,1,3,0
280,21,21-30,Masculino,0,2,0,2,Outros,4000,0,1,0,0,0,"0,04","0,02",0,"0,02","0,07",0,0,1,0,0,0,1,0,2,0
4012,21,21-30,Masculino,0,2,0,2,Outros,6622,0,0,2,0,0,"0,04","0,01",0,"0,03",0,0,0,1,0,0,0,0,0,1,0
10438,21,21-30,Feminino,0,3,0,3,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
